record_id,district,latitude,longitude,elevation_m,slope_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,soil_moisture_index,soil_type,geology,land_cover,ndvi,road_distance_km,river_distance_km,road_cutting,deforestation_index,landslide_occurrence,risk_score,risk_level
1,Cachar,26.49735,91.480304,157.79,15.2,57.53,160.66,511.25,0.386,clayey,gneiss,forest,0.755,2.494,0.323,0,0.118,1,47.27,Moderate
2,Karimganj,26.265978,92.589663,1136.86,7.29,138.31,278.82,857.96,0.366,clayey,alluvium,forest,0.653,0.98,1.575,1,0.258,1,56.14,High
3,Tinsukia,25.509459,90.325058,25.58,5.52,210.36,461.43,728.49,0.471,colluvial,weathered_mixed_rock,grassland,0.657,1.652,1.27,0,0.128,1,63.52,High
4,Darrang,26.120814,92.515073,26.06,4.72,26.15,78.71,280.1,0.258,alluvial,granite,grassland,0.608,13.902,0.352,0,0.27,1,17.59,Low
5,Karbi Anglong,25.569916,90.979413,505.93,24.94,72.35,276.68,781.33,0.469,alluvial,alluvium,bare_land,0.684,1.944,2.076,1,0.347,1,71.28,High
6,Karbi Anglong,26.829105,91.44885,574.44,41.73,196.42,650.0,1200.0,0.611,sandy_loam,weathered_mixed_rock,forest,0.69,1.612,6.123,1,0.213,1,94.17,Very High
7,Dima Hasao,27.590627,92.712109,511.71,16.44,46.94,171.68,378.39,0.461,clayey,alluvium,forest,0.661,0.527,1.109,0,0.133,1,51.96,High
8,Morigaon,27.383646,95.283694,67.84,2.32,58.56,261.0,964.82,0.317,colluvial,sandstone,cropland,0.731,6.149,0.466,0,0.251,0,31.26,Moderate
9,Udalguri,25.464977,93.343966,117.94,22.05,34.86,170.98,603.76,0.319,clayey,alluvium,built_up,0.573,0.232,5.209,0,0.386,1,56.02,High
10,Dhemaji,26.190504,89.811309,85.61,3.87,63.28,144.85,305.39,0.373,alluvial,granite,forest,0.759,0.529,1.577,0,0.13,0,26.71,Moderate
11,Dima Hasao,24.045822,90.604123,371.71,22.94,39.83,196.3,428.98,0.371,clayey,alluvium,cropland,0.409,2.906,4.11,1,0.543,1,63.24,High
12,Nalbari,27.742196,90.099056,117.99,7.11,63.85,232.89,464.31,0.406,lateritic,sandstone,forest,0.612,0.674,3.739,0,0.412,1,40.12,Moderate
13,Nagaon,25.055202,90.873471,56.83,6.45,71.11,238.25,755.43,0.344,sandy_loam,shale,shrubland,0.59,2.725,1.97,0,0.26,1,35.91,Moderate
14,Karbi Anglong,25.896693,91.865083,204.78,13.82,36.22,94.66,356.24,0.267,clayey,gneiss,forest,0.757,6.978,1.218,0,0.11,1,33.46,Moderate
15,Karbi Anglong,24.655967,90.802888,255.1,11.08,55.46,142.41,491.16,0.383,lateritic,alluvium,built_up,0.625,3.448,2.417,0,0.424,0,39.43,Moderate
16,Karbi Anglong,26.915867,92.608573,399.57,18.82,64.61,262.36,791.54,0.357,weathered_rock,alluvium,cropland,0.674,1.839,0.953,0,0.348,1,59.36,High
17,West Karbi Anglong,26.34478,94.892357,521.62,5.35,195.21,650.0,1200.0,0.532,lateritic,gneiss,cropland,0.577,0.078,1.894,0,0.355,1,70.36,High
18,Kamrup,25.568596,94.900918,352.18,15.24,144.67,316.13,853.09,0.438,alluvial,granite,grassland,0.44,2.922,0.437,1,0.283,1,66.58,High
19,Hailakandi,26.301333,91.839684,210.35,24.93,77.64,172.91,572.28,0.37,weathered_rock,weathered_mixed_rock,cropland,0.545,5.592,0.366,0,0.621,1,63.08,High
20,West Karbi Anglong,24.725567,91.758021,626.53,21.81,23.97,102.6,280.14,0.253,clayey,weathered_mixed_rock,cropland,0.652,4.462,0.595,0,0.146,0,46.45,Moderate
21,Udalguri,27.335245,94.398248,376.57,16.64,103.72,233.64,497.79,0.461,colluvial,shale,forest,0.478,4.132,2.883,0,0.392,1,58.8,High
22,Karbi Anglong,25.143624,92.314959,553.45,23.7,54.61,113.36,335.15,0.331,alluvial,weathered_mixed_rock,forest,0.441,0.759,6.648,1,0.431,1,59.94,High
23,West Karbi Anglong,26.644606,95.811731,387.53,8.22,129.79,547.31,1200.0,0.601,clayey,alluvium,forest,0.501,1.123,1.343,1,0.405,1,73.09,High
24,Cachar,27.86742,92.50321,209.99,20.97,134.27,368.15,1200.0,0.466,sandy_loam,gneiss,forest,0.751,2.844,4.778,0,0.111,1,70.36,High
25,Goalpara,24.165918,91.232039,540.58,9.32,102.05,308.4,904.76,0.613,alluvial,shale,grassland,0.411,0.07,0.277,0,0.419,0,61.85,High
26,Jorhat,25.666396,89.761868,95.9,8.19,99.73,236.73,816.19,0.466,colluvial,gneiss,cropland,0.585,3.948,2.01,0,0.358,1,44.63,Moderate
27,Karbi Anglong,24.580146,95.710911,333.99,23.73,38.15,225.36,905.59,0.451,weathered_rock,alluvium,forest,0.542,10.014,0.205,0,0.592,1,63.93,High
28,Kamrup,27.907228,90.448086,285.41,31.5,30.82,228.25,537.93,0.433,lateritic,sandstone,forest,0.534,0.431,1.421,0,0.333,0,71.0,High
29,Darrang,25.548333,90.803613,93.93,2.62,96.44,341.29,638.53,0.464,alluvial,weathered_mixed_rock,built_up,0.541,5.81,0.652,0,0.231,1,43.79,Moderate
30,Dima Hasao,24.917366,89.941523,748.43,19.26,30.35,51.73,203.95,0.31,sandy_loam,alluvium,built_up,0.863,3.131,1.418,0,0.078,1,38.35,Moderate
31,Udalguri,26.908849,92.629106,294.07,8.74,141.6,336.19,1103.59,0.435,weathered_rock,sandstone,grassland,0.578,1.561,5.801,1,0.403,1,62.61,High
32,Karbi Anglong,26.335729,92.272832,733.59,22.44,46.37,130.13,579.56,0.459,alluvial,shale,forest,0.462,4.054,0.066,0,0.429,1,56.84,High
33,Dima Hasao,27.512828,94.839328,131.7,41.16,74.08,179.61,467.37,0.441,lateritic,weathered_mixed_rock,shrubland,0.667,1.588,4.351,1,0.273,1,78.23,Very High
34,Karimganj,27.238193,93.198758,1034.59,34.24,112.31,434.46,940.2,0.594,colluvial,sandstone,forest,0.787,5.296,0.367,0,0.105,1,85.92,Very High
35,Karimganj,28.19108,93.368449,389.61,9.65,55.3,126.85,464.01,0.277,lateritic,weathered_mixed_rock,grassland,0.525,1.424,0.718,1,0.307,0,44.22,Moderate
36,Golaghat,24.389289,94.678538,96.19,5.13,97.03,203.28,571.5,0.41,clayey,weathered_mixed_rock,shrubland,0.563,0.96,0.989,0,0.126,0,38.23,Moderate
37,West Karbi Anglong,24.345173,93.372474,718.25,24.82,39.72,165.25,550.17,0.38,alluvial,shale,grassland,0.608,1.243,0.089,1,0.213,1,64.31,High
38,Dima Hasao,27.901651,93.261888,927.21,17.39,49.22,134.23,423.55,0.31,weathered_rock,sandstone,forest,0.59,2.177,1.983,0,0.456,1,46.81,Moderate
39,Lakhimpur,28.109649,95.549712,26.96,0.41,52.35,209.22,740.21,0.342,clayey,gneiss,forest,0.524,1.109,2.996,0,0.262,0,25.53,Moderate
40,Hailakandi,25.748528,92.453412,574.04,9.38,94.14,315.82,707.95,0.432,alluvial,gneiss,grassland,0.603,4.248,4.12,0,0.344,0,51.98,High
41,Dima Hasao,25.96024,93.696947,120.67,15.06,70.08,247.15,514.54,0.413,colluvial,shale,grassland,0.627,0.979,0.383,1,0.339,1,62.25,High
42,Goalpara,25.585403,92.121297,1124.85,3.91,46.24,113.53,474.56,0.468,weathered_rock,alluvium,cropland,0.592,1.979,0.279,0,0.217,0,31.49,Moderate
43,Dima Hasao,27.344054,93.799249,560.56,11.9,36.37,166.19,436.77,0.453,clayey,weathered_mixed_rock,grassland,0.81,2.163,0.349,0,0.165,1,45.42,Moderate
44,Kokrajhar,27.314382,89.763354,67.64,4.6,37.81,105.36,358.07,0.461,alluvial,alluvium,forest,0.443,5.492,2.314,0,0.569,0,24.57,Low
45,West Karbi Anglong,24.947805,94.2781,441.41,9.71,102.64,331.36,958.48,0.471,clayey,weathered_mixed_rock,forest,0.353,0.344,0.629,0,0.682,1,61.39,High
46,Sonitpur,25.650745,94.625094,211.57,12.08,71.22,141.39,398.01,0.316,lateritic,shale,built_up,0.79,0.474,1.536,1,0.176,0,50.2,High
