LS_Type,count
MISSING,111760
slide,104745
rock slide,18605
debris flow,13336
debris avalanche,12030
shallow landslide,8928
debris slide,8152
Debris Flow,6040
Rockfall,5154
landslide,2578
Debris Slide,1980
combination debris avalanche and debris torrent,1282
mudslide,1281
debris torrent,1119
Landslide/Embankment Failure,962
Earth Landslide,922
verified older landslide,803
lateral spread,789
Landslide,709
Debris Slide - translational,636
Weathered rock Slide - translational,559
Mass Failure,534
Debris Blowout,503
rock_fall,466
Weathered rock Slide,437
Earth or debris Slide-Undifferentiated,384
earth flow,288
Earth Gully,259
rock avalanche,245
ground cracks,242
Gully Head,241
Slide,233
Weathered rock Slide - rotational,193
soil slide,179
Debris Slide - rotational,155
debris_flow,152
multiple failures,147
Bedrock Rotational Slide,145
verified recent landslide,141
Rock Slide,139
Gully,139
verified rockfall,138
Debris flow,131
Earth Rotational Slide,123
Flow,115
rock fall,112
earth slump,105
"Rockfalls, soil falls, or topples",104
soil fall,94
complex,89
Rock Slide - translational,89
topple,81
Rock Fall,77
rock fall initiated failures,76
rockfall,76
Spread,74
Earth or debris Flow,73
Debris,71
sand boils,65
Combination,60
Earth Slide,59
unknown,51
settlement,48
Rockslide,48
Earth Flow,41
Spread/Flow,37
Unknown,36
Slump,35
Earth or debris Complex,35
Earth Translational Slide Landslide,34
Translational,31
Rotational Slide/Slump,28
Earth Slide - rotational,27
Rotational,26
soil slump,25
fill landslide,25
snow avalanche,24
undetermined,22
"ground cracks, settlement",20
Bedrock Complex,19
other,19
Earth Landslide-Gully Complex,19
Earth Translational slide-flow Landslide,19
Slow-moving landslide near glacier termini,18
"ground cracks, soil slump",18
rock and ice avalanche,18
rockslide,16
Bedrock Fall,16
creep,16
fall,15
Earth,13
rotational,12
slump,12
Debris Composite,12
debris topple,11
Debris Subsidence,11
Rock Fall Landslide,11
Rock Fall Talus,11
rapid soil flow,10
Earth Slide - translational,10
ice avalanche,10
"rock fall, rock and ice avalanche",10
Talus,10
translational,9
earth landslide,9
"Rock, Debris Landslide",9
Earth or debris Slide-Translational,9
Rock Slide-Undifferentiated,9
"snow avalanche, debris avalanche",8
shallow road cut failure,8
Earth Translational Slide/Flow Landslide,8
Translational Slide Landslide,8
Earth Other,8
Earth or debris Topple,8
soil/mud slide,7
fill rotational,6
Rock Slide - rotational,6
Debris Creep,6
Blowout,6
snow_avalanche,6
debris flow flume experiment,6
